DOI,Query,PII,Title,Journal
10.1016/s0950-0618(10)00201-1, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2013.07.001, ,None,Special issue on “Monitoring of Infrastructure by NDT”,Construction and Building Materials
10.1016/j.conbuildmat.2011.06.014, ,None,Microstructural characterisation and physical properties of cured thermally activated clay-lime blends,Construction and Building Materials
10.1016/j.conbuildmat.2013.10.015, ,None,Design method for calculating load-carrying capacity of reinforced concrete beams strengthened with external FRP,Construction and Building Materials
10.1016/j.conbuildmat.2014.07.048, ,None,Prediction of the water absorption by aggregates over time: Modelling through the use of value function and experimental validation,Construction and Building Materials
10.1016/j.conbuildmat.2013.06.025, ,None,Shear behaviour of glued structural fibre composite sandwich beams,Construction and Building Materials
10.1016/j.conbuildmat.2014.07.087, ,None,Characteristics of boroaluminosilicate geopolymers,Construction and Building Materials
10.1016/j.conbuildmat.2011.06.052, ,None,Understanding the long-term effects of environmental exposure on roof reflectance in California,Construction and Building Materials
10.1016/j.conbuildmat.2013.08.019, ,None,"Masonry remediation and protection by aqueous silane/siloxane macroemulsions incorporating colloidal titanium dioxide and zinc oxide nanoparticulates: Mechanisms, performance and benefits",Construction and Building Materials
10.1016/j.conbuildmat.2013.01.007, ,None,Mechanical behavior of lightweight concrete steel deck,Construction and Building Materials
10.1016/j.conbuildmat.2012.07.115, ,None,Structural analysis and optimum design of GRP pipes based on properties of materials,Construction and Building Materials
10.1016/j.conbuildmat.2013.10.096, ,None,Effects of the use of construction and demolition waste aggregates in cold asphalt mixtures,Construction and Building Materials
10.1016/j.conbuildmat.2013.04.003, ,None,A three-step method for the recovery of aggregates from concrete,Construction and Building Materials
10.1016/j.conbuildmat.2011.04.002, ,None,The effect of construction pattern and unit interlock on the structural behaviour of block pavements,Construction and Building Materials
10.1016/j.conbuildmat.2012.04.082, ,None,Flexural strength of low density blockwork,Construction and Building Materials
10.1016/j.conbuildmat.2013.04.019, ,None,Analysis of the mechanical behaviour of bituminous mixtures at low temperatures,Construction and Building Materials
10.1016/j.conbuildmat.2013.06.073, ,None,3D porosity distribution of partly calcium leached cement paste,Construction and Building Materials
10.1016/j.conbuildmat.2012.06.021, ,None,SIFCON strengthening of concrete cylinders in comparison with conventional GFRP confinement method,Construction and Building Materials
10.1016/j.conbuildmat.2013.12.011, ,None,Study on mechanical behavior of rubber-sleeved studs for steel and concrete composite structures,Construction and Building Materials
10.1016/j.conbuildmat.2012.07.096, ,None,Ignitability and thermal stability of asphalt binders and mastics for flexible pavements in highway tunnels,Construction and Building Materials
10.1016/j.conbuildmat.2014.09.074, ,None,Carbon reduction of precast concrete under the marine environment,Construction and Building Materials
10.1016/s0950-0618(10)00061-9, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2009.12.031, ,None,Modelling the phase change of salt dissolved in pore water – Equilibrium and non-equilibrium approach,Construction and Building Materials
10.1016/j.conbuildmat.2010.04.050, ,None,The effect of elevated temperatures on corroded and uncorroded reinforcement embedded in mortar,Construction and Building Materials
10.1016/j.conbuildmat.2011.08.005, ,None,Stress and strain analysis in tar-containing antiskid runways using finite element models,Construction and Building Materials
10.1016/j.conbuildmat.2012.11.103, ,None,Investigation and conservation of artificial stone facades of the early XX century: A case study,Construction and Building Materials
10.1016/j.conbuildmat.2013.11.078, ,None,Quasi-static behavior of moment-carrying steel–wood doweled joints,Construction and Building Materials
10.1016/j.conbuildmat.2012.11.092, ,None,From relative gas permeability to in situ saturation measurements,Construction and Building Materials
10.1016/j.conbuildmat.2014.09.098, ,None,Effect of the physical properties of aggregates on aggregate-asphalt bond measured using the UCL method,Construction and Building Materials
10.1016/j.conbuildmat.2010.06.079, ,None,Stabilization of sodium oleate as calcium oleate in cement-based mortars made with limestone fillers,Construction and Building Materials
10.1016/j.conbuildmat.2014.09.105, ,None,Analytical method for the assessment of unreinforced brick masonry walls subjected to eccentric compressive loads,Construction and Building Materials
10.1016/j.conbuildmat.2007.08.016, ,None,Cracking in fibre cement products,Construction and Building Materials
10.1016/j.conbuildmat.2012.11.024, ,None,Experimental study on the flexural behaviour of multi-span transparent glass–GFRP composite beams,Construction and Building Materials
10.1016/j.conbuildmat.2012.07.094, ,None,Strength development characteristics of UP-MMA based polymer concrete with different curing temperature,Construction and Building Materials
10.1016/j.conbuildmat.2012.06.026, ,None,A statistical approach of binary and ternary concrete mixtures with mineral additions,Construction and Building Materials
10.1016/j.conbuildmat.2014.08.020, ,None,Bond strength of underwater repair concretes under hydrostatic pressure,Construction and Building Materials
10.1016/j.conbuildmat.2014.08.013, ,None,CBM-SP (ICCS13),Construction and Building Materials
10.1016/j.conbuildmat.2014.04.006, ,None,Influence of freeze–thaw on the polishing resistance of coarse aggregates on road surface,Construction and Building Materials
10.1016/j.conbuildmat.2011.12.034, ,None,Eco-friendly fireproof high-strength polymer cementitious composites,Construction and Building Materials
10.1016/j.conbuildmat.2013.09.016, ,None,Manufacture of a construction material using the physicochemical properties of ash and sludge wastes from MDF board production,Construction and Building Materials
10.1016/j.conbuildmat.2012.03.012, ,None,The effect of short cantilever beam formation on the structural behavior of precast post-tensioned connections,Construction and Building Materials
10.1016/j.conbuildmat.2014.01.099, ,None,Impact of pretreatments and enzymatic hydrolysis on agricultural residue ash suitability for concrete,Construction and Building Materials
10.1016/j.conbuildmat.2013.06.003, ,None,Experimental tests on reinforced concrete columns under multi-dimensional dynamic loadings,Construction and Building Materials
10.1016/j.conbuildmat.2011.12.101, ,None,Characterization of rutting performance of warm additive modified asphalt mixtures,Construction and Building Materials
10.1016/j.conbuildmat.2009.08.012, ,None,A combined ultrasound method applied to high performance concrete with silica fume,Construction and Building Materials
10.1016/j.conbuildmat.2010.04.036, ,None,Flexural retrofitting of RC beams using external bars at soffit level – An experimental study,Construction and Building Materials
10.1016/j.conbuildmat.2011.06.036, ,None,Approach to fatigue performance using Fénix test for asphalt mixtures,Construction and Building Materials
10.1016/j.conbuildmat.2011.12.030, ,None,Influence of the setting process and the formulation on the drying of hemp concrete,Construction and Building Materials
10.1016/j.conbuildmat.2010.06.088, ,None,Environment hazard mitigation of waste gypsum and chalk: Use in construction materials,Construction and Building Materials
10.1016/j.conbuildmat.2013.06.082, ,None,"Inspection, evaluation and repair monitoring of cracked concrete floor using NDT methods",Construction and Building Materials
10.1016/s0950-0618(11)00222-4, ,None,Calendar,Construction and Building Materials
10.1016/s0950-0618(14)00449-8, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2014.04.062, ,None,Cement-based renders with insulating properties,Construction and Building Materials
